,ID,Progress,Duration (in seconds),Finished,RecordedDate,UserLanguage,What category does a majority of your clientele (coaching) fall under? ,How long have you been coaching?,"Do you coach clients that are natural, enhanced, or both?","After completion of a caloric deficit (fat loss phase) in your natural athletes, do you purposely increase calories for your clients?�","In your natural athletes, do you utilize what you would consider is a ""reverse dieting"" approach?","When implementing a reverse diet for natural clients, do you primarily focus on manipulating specific macronutrients or general caloric intake?","Does your clientele consist of primarily men, women, or both?�","After a caloric deficit for a natural 100kg male utilizing a reverse dieting strategy, on average, what is your daily caloric increase?","After a caloric deficit for a natural 60kg female utilizing a reverse dieting strategy, on average, what is your daily caloric increase?","After a caloric deficit for a natural 100kg male utilizing a reverse dieting strategy, on average, what is your daily total macronutrient (PRO + CHO+ FAT) increase?","After a caloric deficit for a natural 60kg female utilizing a reverse dieting strategy, on average, what is your daily total macronutrient (PRO + CHO+ FAT) increase?",How many weeks on average do your natural clients spend reverse dieting?,"If you prescribed a natural client (x) amount of cardio and/or step count during the caloric deficit (fat loss phase), how do you adjust cardio/step count once the fat loss phase is completed?�","If your clients have ever experienced a negative effect from reverse dieting please explain. (e.g. adherence, body fat levels, hormonal factors, etc.)�",Why do you implement a reverse dieting strategy after a caloric deficit (fat loss phase) as opposed to another approach?,"By selecting �yes� I understand my responses, while remaining anonymous, IP address information is collected in order to prevent duplicate survey responses, and will be used for research analysis.",,,,
,ID128,100,66,TRUE,1/13/2024 15:50,EN,"Team sports/ Athletic performance (football,swimming,combat sports)",5-8 years,I only coach natural athletes,Yes,No,,,,,,,,,,,,,,,
,ID129,100,788,TRUE,1/30/2024 9:18,EN,Lifestyle/General population,2-4 years,I coach both,Yes,Yes,I focus on Macronutrients,I coach Both,400,,2000kcal = C170 F40 P240    ----> 2400Kcal =  C260  F45  P240 ,"Ive never had a client get that low, outside of enhanced and competitive.  BUT  1000Kcal = C50 F30 P135   -----> 1450~  C100 F55 P135",8-16 depending on how their body/hormones/emotions/mencees ,Decrease,"adherence is always the issue, thus leading into body fat gains.   Typically the deficit causes the hormonal issues, and throughout the reverse diet my primary goal is minimal fat gain while normalizing hormone levels","I believe ones body wants to get back to its ""homeostasis"" and immediately after a bulk/fat loss phase their body is primed to store body fat fast/lose new muscle tissue.  Returning to a maintenance phase of sorts while reverse dieting, as ive seen, has allowed their body to adjust and adapt to the new body fat levels without massive gain. ",Yes,,,,
,ID130,100,66,TRUE,12/27/2023 16:03,EN,"Strength Athletes (powerlifting, strongman, weightlifting)",5-8 years,I only coach natural athletes,Yes,No,,,,,,,,,,,,,,,
,ID131,100,1299,TRUE,1/4/2024 16:56,EN,Lifestyle/General population,>8 years,I only coach natural athletes,Yes,Yes,I focus on Macronutrients,I coach Both,I don't generally increase every single day but will make increases every few days to weeks depending on the client's needs. Across a week there might be an increase of 200 calories (which across 7 day is just over 28 calories per day) ,,Protein usually will remain the same and maybe come down just below 2.2g per kg of BW. Fat will surely increase 15-20g across a week (2-3g per day) and carbohydrates will increase 50-75g (5-7g per day),Protein usually will remain the same and maybe come down just below 2.2g per kg of BW. Fat will surely increase 10-15g across a week (1-2g per day) and carbohydrates will increase 25-50g (3-4g per day),Reverse dieting will take place for at about 4 weeks (sometime more necessary) before making larger increases.,Decrease,"All my competitors are female and I have found they have all struggled with the psychological aspect of gaining weight again after competition. This isn't so much of an adherence phenomena, but rather a common anxiety I have identified in many female competitors (even when they have agreed that growing again will improve their physique). There seems to still be a learned psychological hesitation and anxiety to gaining weight. ",(1) Keep from the athlete binging (2) Limit body fat gained over time (3) Gather data on how body responds to increase amounts of food in a deep deficit to possibly strategically add food prior to competition,Yes,,,,
,ID132,100,437,TRUE,12/23/2023 11:36,EN,Competitive physique athletes,2-4 years,I only coach natural athletes,Yes,Yes,I focus on Macronutrients,I only coach Women,,,,depending on the individual usually adding anywhere from 20-30carb and 5ish fat weekly as needed and based on response ,~8-12,Decrease,i do see clients struggle with adherence and control due to hunger cues being a little thrown off and due to this body comp/hormones can be compromised,"i like implementing reversing to help clients re learn their hunger cues, maintain their desired body comp and learn to live in balance ",Yes,,,,
,ID133,56,898,FALSE,12/31/2023 8:03,EN,Lifestyle/General population,>8 years,I only coach natural athletes,Yes,Yes,I focus on Macronutrients,I coach Both,100-150 calories,,,,,,,,,,,,
,ID134,100,392,TRUE,1/24/2024 8:42,EN,Lifestyle/General population,5-8 years,I only coach natural athletes,Yes,Yes,I focus on Macronutrients,I coach Both,200 the first day - monitor response and increase on day 7 ,,"It all depends on what the finishing macros were and what biofeedback, mindset etc is so I couldn’t say ","It all depends on what the finishing macros were and what biofeedback, mindset etc is so I couldn’t say ",As long as the diet was as a minimum. Eventually crosses into surplus territory so however long it takes until weight starts moving up. I don’t set timelines apart from ensuring the reverse is as long as the initial fat loss phase ,Decrease,"Body fat levels - felt they didn’t need to be as diligent in a reverse diet, hit their fat loss goals and fell off track ",It is only one of the methods I use. I prefer this as it teaches people control and restraint rather than being faced with a sudden influx of a large anoint of food. I find it to be better digestively also ,Yes,,,,
,ID135,100,678,TRUE,1/5/2024 6:00,EN,Lifestyle/General population,<2 years,I only coach natural athletes,Yes,Yes,I focus on Calories,I coach Both,200,,"10g fat, 27.5g carb, pro remains a constant until bodyweight moves up alot","5g fat, 14g carb, pro remains a constant until bodyweight moves up. Half the amount if male as lower total cals, so 100cals a day reverse",6-12 into a scheduled gain phase or maintenance,Decrease,No,To help keep body composition in check whilst allowing to eat more food,Yes,,,,
,ID136,100,204,TRUE,12/28/2023 11:35,EN,Lifestyle/General population,5-8 years,I only coach natural athletes,No,,,,,,,,,,,,,,,,
,ID137,100,382,TRUE,12/28/2023 11:42,EN,Lifestyle/General population,5-8 years,I only coach natural athletes,Yes,Yes,I focus on Calories,I coach Both,200,,'+50g Carbs only,"'+100kcal, so +25g Carbs only",12,Decrease,"None, quite the opposite actually ","Since I try to get their energy levels up, hunger levels down, with min fat gain, and prepare them for possibly another fat loss phase.",Yes,,,,
,ID138,100,2298,TRUE,12/28/2023 10:20,EN,"Strength Athletes (powerlifting, strongman, weightlifting)",2-4 years,I only coach natural athletes,Yes,Yes,I focus on Macronutrients,I coach Both,80,,Adding mostly carbs and a bit of fat. 3-5 g of Fat and 13 g of Carbs on a 80Kcal increase. Could go up to 200 Kcal a week,Adding mostly carbs and a bit of fat. 3-5 g of Fat and 13 g of Carbs on 80 Kcal increase. Could go up to 120 calories a week,2-4 months,Decrease,Their hunger goes up once they start eating more calories.,"It helps mentally the clients to get better, also increases their NEAT and they are more reactive, they get back from this very fatiguing state of caloric deficit. Mental clarity, better mood and more food in the lowest cost of body fat gain.",Yes,,,,
,ID139,56,272,FALSE,1/19/2024 6:22,EN,Lifestyle/General population,>8 years,I only coach natural athletes,Yes,Yes,I focus on Calories,I coach Both,"Depends on how well they were losing and future goals. I wouldn't add every day, it would be the same increase for the week. probably around 200 on average for the week if fairly plateaued, 400-500 if losing well.",,,,,,,,,,,,
,ID140,100,571,TRUE,1/22/2024 17:47,EN,Lifestyle/General population,>8 years,I coach both,Yes,Yes,I focus on Calories,I coach Both,105,,0 + 15 + 5,0 + 10 + 3,Straight to maintenance & then reverse diet (avg 4-8wks).,Decrease,Never had a negative result when - To maintenance immediately & then reverse diet via several pieces of client data. ,After immediately going to maintenance I found TDEE still increases & if done conservatively based on data unwanted fat gain does not occur while maximizing maintenance calories & the client feels great. ,Yes,,,,
,ID141,100,131,TRUE,1/4/2024 19:35,EN,Lifestyle/General population,2-4 years,I only coach natural athletes,Yes,Yes,I focus on Calories,I only coach Women,,,,,8,Decrease,Increased body fat levels ,To avoid any weight gain rebound due to psychological or physiological diet burnout + metabolic adaptations ,Yes,,,,
,ID142,56,408,FALSE,2/7/2024 4:42,EN,Lifestyle/General population,2-4 years,I only coach natural athletes,Yes,Yes,I focus on Calories,I coach Both,"Ha! This is always an ""it depends situation"". Between 50-75. Depends on client. We typically have a conversation about the reverse and amounts to increase.",,,,,,,,,,,,
,ID143,100,441,TRUE,12/22/2023 12:29,EN,Competitive physique athletes,5-8 years,I coach both,Yes,Yes,I focus on Calories,I coach Both,200,,"0, 50, 15","10, 20, 20",10-Aug,Decrease,No,Hormone optimization ,Yes,,,,
,ID144,100,538,TRUE,12/22/2023 12:30,EN,Competitive physique athletes,2-4 years,I coach both,Yes,Yes,I focus on Macronutrients,I coach Both,"I would not increase calories each day, but rather on a week to biweekly basis. I would likely start with adding back in about 200-400 calories during the first week ",,"Likely 0g protein, around 40-50g carbs, and maybe 10-15g fat over the course of a week (not each day)","0g protein, 20-30g carbs, 15-20g fats ",12-Aug,Decrease,"No- usually positive effects are seen as far as better sleep, energy, and restoration of hormone health ",To prevent the accumulated of gaining excess body fat immediately post diet ,Yes,,,,
,ID145,56,254,FALSE,1/5/2024 9:03,EN,Lifestyle/General population,<2 years,I only coach natural athletes,Yes,Yes,I focus on Macronutrients,I only coach Women,,,,,,,,,,,,,
,ID146,100,1599,TRUE,12/26/2023 22:30,EN,Competitive physique athletes,>8 years,I only coach natural athletes,Yes,Yes,I focus on Calories,I coach Both,200,,"0 for protein as it should already be enough, ~5 grams/day for CHO, and ~1-2 gram/day for Fat","0 for protein as it should already be enough, ~5 grams/day for CHO, and ~1-2 gram/day for Fat",16-Dec,Decrease,Concern with body image and gaining body fat," Primarily, to reduce the chances of body fat overshooting and binge eating",Yes,,,,
,ID147,100,539,TRUE,12/26/2023 13:24,EN,Lifestyle/General population,5-8 years,I only coach natural athletes,Yes,Yes,I focus on Macronutrients,I only coach Women,,,,"5-10g protein until at 2.2kg/bodyweight, carbs 10-25g/wk depending on adherence, fats +5g every 2-4 weeks until at ~1.2g-1.4/kg. Once fats/protein at upper limit, then increase only from carbs, sometimes just on lower body training days around the workout ","8-12 weeks, sometimes longer if we hit calculated maintenance but are able to keep increasing beyond without much additional body fat - depends on time commitment of client. ",Decrease,"Adherence is the biggest thing, especially in their first ever reverse diet after completing a goal (challenge/photoshoot) when dopamine levels are low, allostatic load is high & hunger is present. If someone is struggling for a few weeks with being able to adhere to macros, I usually bring them up to maintenance calories but keep cardio higher and slowly reduce that over the weeks ","Most lifestyle clients want to maintain their leanness/continue to see progress, and putting on muscle quickly (by getting out of a deficit quicker) is not their priority. ",Yes,,,,
,ID148,50,154,FALSE,1/6/2024 18:17,EN,Lifestyle/General population,<2 years,I only coach natural athletes,Yes,Yes,I focus on Macronutrients,I coach Both,,,,,,,,,,,,,
